Company,Location_HQ,Industry,Laid_off_count,Percentage,date,Stage,Country,Funds_Raised
"Singularity 6","Los Angeles",Other,36,NULL,2024-05-15,"Series B","United States",49
"Singularity 6","Los Angeles",Other,49,0.35,2024-04-08,"Series B","United States",49
SiriusXM,"New York City",Media,160,0.03,2024-02-12,Post-IPO,"United States",525
Sirplus,Berlin,Food,60,NULL,2024-01-17,Seed,Germany,NULL
Sisense,"New York City",Data,60,0.13,2024-01-11,"Series F","United States",274
SkyKick,Seattle,Other,140,NULL,2023-08-30,Unknown,"United States",198
Slync,Dallas,Logistics,NULL,1.0,2023-10-25,"Series B","United States",76
"Small Robot Company",Salisbury,Food,NULL,1.0,2024-02-02,Unknown,"United Kingdom",10
SmileDirectClub,Nashville,Healthcare,NULL,1.0,2023-12-09,Post-IPO,"United States",694
Snap,"Los Angeles",Consumer,170,NULL,2023-09-27,Post-IPO,"United States",4900
Snap,"Los Angeles",Consumer,20,NULL,2023-11-08,Post-IPO,"United States",4900
Snap,"Los Angeles",Consumer,500,0.1,2024-02-05,Post-IPO,"United States",4900
SoFi,"SF Bay Area",Finance,NULL,0.04,2024-01-10,Post-IPO,"United States",3000
Sojern,"SF Bay Area",Marketing,NULL,0.2,2023-12-13,Unknown,"United States",172
SolarEdge,"Tel Aviv",Energy,900,0.16,2024-01-21,Post-IPO,Israel,155
Solarisbank,Berlin,Finance,20,NULL,2023-12-14,Unknown,Germany,385
Sonder,"SF Bay Area",Travel,106,0.17,2024-02-15,Post-IPO,"United States",839
SonderMind,Denver,Healthcare,49,0.17,2024-01-16,"Series C","United States",183
"Sono Motors",Munich,Transportation,NULL,NULL,2023-10-02,Post-IPO,Germany,127
Sonos,"New York City",Consumer,NULL,NULL,2023-11-16,Post-IPO,"United States",455.2
"Sony Interactive","SF Bay Area",Consumer,900,0.08,2024-02-27,Subsidiary,"United States",NULL
Sorare,"New York City",Crypto,22,0.13,2024-03-06,"Series B","United States",739
"Spartan Poker",Kolkata,Consumer,125,0.4,2023-08-19,Unknown,India,NULL
Spinny,Gurugram,Transportation,300,0.05,2023-08-02,"Series E",India,513
Splunk,"SF Bay Area",Data,500,0.07,2023-11-01,Post-IPO,"United States",2400
Sportradar,"St. Gallen",Data,NULL,0.1,2023-11-02,Post-IPO,Switzerland,84
